Country,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,Temperature,Humidity,WindSpeed,Date,Station_ID,Status
USA,Hanoi,128.45,120.31,83,129.9,0.59,162.54,invalid,-6.7,49,3.03,7/20/2025,ID_err,Unhealthy
India,Delhi,high,129.01,80.61,106.87,8.58,194.03,36,34.2,86,13.52,3/14/2025,9211,Moderate
USA,Beijing,220.23,383.05,108.1,121.38,18.93,57.35,340,-0.9,54,9.32,7/18/2024,ID_err,Moderate
China,HCM,259.98,296.03,72.66,89.85,7.74,248.15,115,23,2,12.92,12-05-25,4397,Unhealthy
USA,Delhi,244.71,52.64,56.92,62.43,3.61,145.13,466,20.7,55,0.01,10/29/2023,8892,123
China,Hanoi,high,196.72,error,126.42,1.14,105.7,131,6,57,17.78,4/23/2024,ID_err,Good
Vietnam,Paris,198.67,unknown,42.37,112.03,NaN,112.78,300,36.6,53,14.49,08-11-23,6193,Unhealthy
123,Hanoi,200.66,136.09,191.56,85.92,NaN,173.37,499,32.3,92,16.69,5/24/2023,6831,Moderate
China,HCM,153.38,54.84,error,92.57,1.82,126.37,330,2.4,58,12.86,06-06-23,4625,Moderate
USA,Hanoi,157.58,371.63,190.45,low,16.39,bad,220,42.3,97,6.26,4/15/2023,7899,123
India,Hanoi,24.79,337.17,118.1,48.1,16.03,48.86,310,5.9,wet,7.72,1/30/2024,9366,Moderate
Vietnam,Delhi,170.8,57.89,41.11,144.03,4.34,41.11,417,19.2,62,10.83,5/27/2023,1692,Moderate
Vietnam,Paris,64.78,unknown,123.62,48.49,0.61,227.96,375,37.9,54,13.58,03-09-23,ID_err,Unhealthy
India,999,266.18,29.24,32.69,144.44,14.55,47.65,500,43.9,25,fast,4/14/2024,7786,Unhealthy
India,HCM,182,153.31,48.41,106.78,NaN,216.14,426,34.9,39,11.59,9/13/2025,4395,Moderate
France,Hanoi,99.9,140.23,65.97,94.52,15.05,241.53,329,-2.1,82,17.6,11-08-24,9209,Moderate
USA,Paris,126.66,35.81,60.99,low,NaN,164.52,63,30.5,49,10.9,7/24/2024,7500,Good
Vietnam,Delhi,63.81,283.14,54.94,low,14.13,43.39,56,13.8,wet,11.03,9/26/2024,6876,Moderate
India,HCM,151.03,unknown,100.1,low,14.24,bad,28,36.2,98,18.58,5/24/2025,5082,Moderate
Vietnam,999,203.69,371.49,113.43,134.69,11.77,229.4,120,-0.7,79,17.2,8/16/2023,4893,Unhealthy
USA,HCM,24.18,70.83,121.21,108.27,11.09,94.87,437,31.4,55,fast,11/24/2024,6088,Moderate
France,Beijing,high,142.52,182.07,23.2,15.84,175.38,231,19.4,97,5,9/30/2024,1959,Good
USA,Hanoi,high,230,140.66,19.04,18.38,146.82,132,33.6,38,18.59,9/18/2023,5102,Moderate
France,HCM,20.12,333.36,36.42,1.38,NaN,141.61,400,27.2,10,6.32,4/25/2025,5526,Unhealthy
China,Beijing,291.87,365.19,139.14,low,12.94,112.69,3,28.3,wet,19.27,6/20/2025,6731,Good
France,Beijing,104.47,10.48,154.21,130.51,7.93,248.47,invalid,35.3,53,5.75,1/13/2024,6707,Good
India,Delhi,95.59,78.96,28.49,101.6,1.45,bad,151,2.9,28,11.48,10/22/2024,1030,Unhealthy
China,Beijing,133.62,169.15,6.69,149.85,17.01,139.58,428,29.1,30,14.14,8/23/2023,8325,Unhealthy
Vietnam,Paris,249.51,367.52,77.68,89.01,11.76,bad,259,hot,12,fast,5/21/2023,3253,Good
USA,Delhi,80.72,231.39,67.51,118.15,10.53,75.3,151,20.3,65,fast,02-02-23,4208,Moderate
USA,Delhi,223.85,333.67,5.85,21.63,6.84,60.3,299,7.7,31,6.82,11-07-23,4969,Unhealthy
China,Hanoi,high,354.83,157.47,54.35,16.16,141.55,233,34.8,60,5.17,7/22/2023,3284,Moderate
France,999,14.3,198.94,110.71,34.89,3.26,40.5,263,-3.4,51,0.47,9/17/2024,4557,Moderate
Vietnam,Hanoi,267.65,59.9,123.01,124.69,9.94,157.51,381,27.4,11,8.61,9/14/2023,1162,Good
USA,Delhi,124.71,67.93,error,41.97,19.82,23.71,17,33.9,97,17.88,2/19/2024,1252,Unhealthy
France,Paris,282.53,367.33,160.36,54.53,3.13,68.17,499,hot,17,4.36,10-08-25,8780,123
China,Hanoi,82.41,385.51,65.93,47.63,12.73,bad,63,34.5,3,6.46,05-05-23,9985,Good
USA,Paris,high,277.86,26.31,42.48,13.21,bad,5,9.5,38,fast,07-10-25,3963,Moderate
Vietnam,Hanoi,220.16,187.72,45.9,32.49,2.49,142.37,404,8.9,wet,6.41,09-01-25,7768,Moderate
France,Hanoi,116.71,184.28,168.43,low,2.43,151.45,98,-8.3,36,12.34,09-01-24,9184,123
USA,HCM,154.27,191.03,72.73,28.92,18.1,117.66,5,2.4,81,5.86,12/13/2025,1924,Moderate
France,Paris,153.79,196.22,error,114.24,1.25,49.21,440,45,18,0.91,05-03-23,8479,Good
France,HCM,184.39,366.09,49.39,24.07,15.96,204.9,179,hot,12,14.87,01-12-23,4407,Unhealthy
India,Paris,203.52,138,72,144.18,13.62,43.44,93,27,19,16.75,07-09-24,1762,123
India,,292.84,100.09,82.93,90.42,9.23,175.27,invalid,34.3,82,4.64,12-06-24,ID_err,Good
France,Hanoi,240.61,155.99,153.03,81.87,NaN,188.93,495,-0.3,89,12.79,1/15/2025,5215,Moderate
France,Hanoi,260.27,unknown,70.64,15.85,5.93,247.1,315,36.1,wet,17.58,8/26/2025,1686,Good
123,Paris,162.94,259.63,187.21,92.03,12.21,157.71,399,hot,0,4.36,11/29/2023,6055,Good
China,Paris,high,37.62,53.04,57.71,16.06,28.76,226,38.3,65,12.95,2/22/2025,1367,Good
Vietnam,Beijing,276.5,397.79,185.55,17.04,3.9,144.55,500,33.4,22,16.01,7/20/2025,5198,Moderate
Vietnam,Hanoi,132.7,85.58,116.31,125.55,5.93,104.36,335,26.4,3,5.98,06-12-24,9644,Moderate
